"Siswati",,,
"Speaker","Gender","Line","Age"
001,"male","cellphone",22
002,"female","landline",34
003,"female","cellphone",20
004,"female","landline",32
005,"male","male",43
006,"male","landline",45
007,"female","cellphone",44
008,"female","landline",44
009,"male","cellphone",21
010,"male","male",26
011,"female","cellphone",24
012,"female","landline",28
013,"male","cellphone",42
014,"male","cellphone",29
015,"female","cellphone",52
016,"female","landline",38
017,"male","cellphone",24
018,"male","cellphone",29
019,"female","cellphone",23
020,"female","landline","Not Available"
021,"male","male",46
022,"male","male",46
023,"female","cellphone",20
024,"female","landline",52
025,"male","cellphone",29
026,"male","landline",22
027,"female","cellphone","Not Available"
028,"female","male",32
029,"male","cellphone",43
030,"male","landline",52
031,"female","cellphone",42
032,"female","landline",30
033,"male","male",18
034,"male","cellphone",26
035,"female","cellphone",13
036,"female","cellphone",29
037,"male","cellphone",40
038,"male","landline",42
039,"female","cellphone",60
040,"female","landline",48
041,"male","cellphone",22
042,"male","landline",28
043,"female","cellphone",20
044,"female","landline",35
045,"male","male",45
046,"male","landline",45
047,"female","cellphone",42
048,"female","cellphone","Not Available"
049,"male","cellphone",19
050,"male","landline",23
051,"female","cellphone",27
052,"female","landline",29
053,"male","cellphone",27
054,"male","Not Available",49
055,"female","cellphone",40
056,"female","landline",46
057,"Not Available","cellphone",25
058,"male","cellphone",26
059,"female","cellphone",31
060,"female","landline",35
061,"male","cellphone",43
062,"male","landline",42
063,"female","cellphone",47
064,"female","cellphone",43
065,"male","cellphone","Not Available"
066,"male","landline",23
067,"female","cellphone",24
068,"female","landline",26
069,"male","cellphone",40
070,"male","landline",52
071,"female","cellphone",42
072,"female","landline",45
073,"male","cellphone",21
074,"male","landline",28
075,"female","cellphone",23
076,"female","landline",23
077,"male","cellphone",35
078,"male","landline",27
079,"female","cellphone",38
080,"female","landline","Not Available"
081,"male","cellphone",30
082,"male","landline",33
083,"female","cellphone",26
084,"female","landline",27
085,"male","cellphone",45
086,"male","landline",39
087,"female","cellphone",38
088,"female","landline",40
089,"male","landline",24
090,"female","male",22
091,"female","landline",29
092,"male","cellphone",57
093,"male","landline",53
094,"female","cellphone",37
095,"female","landline",43
096,"male","cellphone",32
097,"male","landline",35
098,"female","cellphone",23
099,"female","landline",33
100,"male","cellphone",36
101,"male","landline","Not Available"
102,"female","cellphone",37
103,"female","landline",36
104,"male","landline",25
105,"female","cellphone",29
106,"female","landline",26
107,"male","cellphone",41
108,"male","landline",55
109,"female","cellphone",55
110,"female","landline",37
111,"male","cellphone",22
112,"male","landline",27
113,"female","cellphone","Not Available"
114,"female","landline",34
115,"male","male",43
116,"male","landline",62
117,"female","cellphone",49
118,"female","landline",47
119,"male","cellphone",30
120,"male","landline",33
121,"female","cellphone",17
122,"female","cellphone",23
123,"female","landline",35
124,"male","male",50
125,"female","cellphone",40
126,"female","landline",36
127,"male","male",36
128,"male","male",32
129,"female","cellphone",23
130,"female","cellphone",32
131,"male","landline",38
132,"male","cellphone",37
133,"female","cellphone",38
134,"female","landline",49
135,"male","cellphone",22
136,"male","landline",39
137,"female","cellphone",18
138,"female","landline",25
139,"male","landline",36
140,"male","landline",44
141,"female","cellphone",43
142,"female","landline",53
143,"male","cellphone",28
144,"male","landline",24
145,"female","cellphone",30
146,"male","cellphone",56
147,"male","cellphone",73
148,"female","cellphone",46
149,"female","landline",47
150,"male","cellphone",18
151,"female","landline",27
152,"female","cellphone",20
153,"female","Not Available","Not Available"
154,"male","cellphone",45
155,"male","landline",37
156,"female","Not Available","Not Available"
157,"female","landline",35
158,"male","cellphone",21
159,"female","cellphone",28
160,"female","landline",34
161,"male","Not Available",40
162,"male","landline","Not Available"
163,"female","cellphone",39
164,"female","landline",47
165,"male","cellphone",24
166,"male","landline",28
167,"female","cellphone",20
168,"female","landline",18
169,"male","cellphone",36
170,"male","landline",43
171,"female","cellphone","Not Available"
172,"female","landline",41
173,"male","cellphone",31
174,"male","landline",34
175,"female","cellphone",19
176,"female","landline","Not Available"
177,"male","landline",30
178,"male","landline",40
179,"female","cellphone",39
180,"female","cellphone",45
181,"male","cellphone",19
182,"male","landline",33
183,"female","cellphone",18
184,"female","landline",19
185,"male","cellphone",36
186,"male","landline","Not Available"
187,"female","cellphone",40
188,"female","landline",52
189,"male","male","20-30"
190,"male","cellphone",30
191,"female","landline",25
192,"female","landline",20
193,"cellphone","Not Available","Not Available"
194,"male","landline",50
195,"female","cellphone",33
196,"female","landline",34
