ID,wav,duration,spk_id,age,transcript
cv-corpus-19.0-2024-09-13-xh_common_voice_xh_40488212_0,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-19.0-2024-09-13-xh_common_voice_xh_40488212.mp3,4.15,8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8,nan,bhala isilogeni okanye umyalezo wemveliso nganye
cv-corpus-20.0-2024-12-06-xh_common_voice_xh_40488212_1,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-20.0-2024-12-06-xh_common_voice_xh_40488212.mp3,4.15,8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8,nan,bhala isilogeni okanye umyalezo wemveliso nganye
cv-corpus-21.0-2025-03-14-xh_common_voice_xh_40488212_2,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-21.0-2025-03-14-xh_common_voice_xh_40488212.mp3,4.15,8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8,nan,bhala isilogeni okanye umyalezo wemveliso nganye
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488210_3,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488210.mp3,7.32,8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8,nan,sihlalo izinto nje endifuna ukuziphakamisa zimbini
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488212_4,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488212.mp3,4.15,8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8,nan,bhala isilogeni okanye umyalezo wemveliso nganye
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488213_5,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488213.mp3,4.72,8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8,nan,ndatshata nomyeni wam eminyakeni esibhozo eyadlulayo
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488259_6,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488259.mp3,7.42,62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6,nan,uninzi lwabafundi abangabantu abadala ababi naxesha lininzi lokunikezela kwizifundo zabo
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488260_7,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488260.mp3,5.8,62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6,nan,bhala umbongo ngokutsha uze ushiye ezo zivakalisi
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488263_8,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488263.mp3,5.05,62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6,nan,ndiyathemba uyaphumelela ekufumaneni amatikiti omboniso
cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488266_9,D:\Model-Finetuning\wav2vec2\data\commonvoice_xh_merged\clips\cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488266.mp3,5.23,62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6,nan,walunywa kangangeeyure ezintandathu phambi kokuba luzalwe usana
