client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8	cv-corpus-19.0-2024-09-13-xh_common_voice_xh_40488212.mp3	35560b84bbe92764a72a694c3f75976a0c4f53a635b0c4ff47155a3aaf7a869b	Bhala isilogeni okanye umyalezo wemveliso nganye.		2	0					xh	
8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8	cv-corpus-20.0-2024-12-06-xh_common_voice_xh_40488212.mp3	35560b84bbe92764a72a694c3f75976a0c4f53a635b0c4ff47155a3aaf7a869b	Bhala isilogeni okanye umyalezo wemveliso nganye.		2	0					xh	
8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8	cv-corpus-21.0-2025-03-14-xh_common_voice_xh_40488212.mp3	35560b84bbe92764a72a694c3f75976a0c4f53a635b0c4ff47155a3aaf7a869b	Bhala isilogeni okanye umyalezo wemveliso nganye.		2	0					xh	
8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488210.mp3	11caa0d1cbf1c70fd64fa2122deb238b253081411efead8bf72b42b0a6408943	Sihlalo izinto nje endifuna ukuziphakamisa zimbini.		2	0					xh	
8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488212.mp3	35560b84bbe92764a72a694c3f75976a0c4f53a635b0c4ff47155a3aaf7a869b	Bhala isilogeni okanye umyalezo wemveliso nganye.		2	0					xh	
8545db637529cd2b6e153b97cb2e6534cbe0d0b1cc58d56a64dc95519822f471751cc3845154ee30d343c5af8c9b26d54e19e0651c4365017fef9cedf98e00b8	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488213.mp3	2c2360e16cb9f149eb2d404f773d2621c632d3f82f9a20478464e1a31faac318	ndatshata nomyeni wam eminyakeni esibhozo eyadlulayo		2	0					xh	
62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488259.mp3	3bf3609531e8d2893260616bea362a7d4dd6120d1b5d384c3508499d738724d1	Uninzi lwabafundi abangabantu abadala ababi naxesha lininzi lokunikezela kwizifundo zabo.		2	0					xh	
62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488260.mp3	399e2578e8e8aef4c90c7d29cb4f0d1925362eb91eb5f798b0e237a9848f5f7a	Bhala umbongo ngokutsha uze ushiye ezo zivakalisi.		2	0					xh	
62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488263.mp3	15ad30b62f1f11c640bee99a20dea059873511d08f91076396af4f4e720d8ffa	ndiyathemba uyaphumelela ekufumaneni amatikiti omboniso		2	0					xh	
62b087f7fb54ef28d13a11aaed6ee4ec1eeda6a2377eb8b2d62cc4305f43a975bee2e5cae3e295ba110afff0fa061f90d04d6535d4732436c87830a368e2e0b6	cv-corpus-22.0-2025-06-20-xh_common_voice_xh_40488266.mp3	0aaa3615cbedde5c8dcdf0a038d680e0080c77862397ae6bffb2e49e6f273285	walunywa kangangeeyure ezintandathu phambi kokuba luzalwe usana		2	0					xh	
