"isiNdebele",,,
"Speaker","Gender","Line","Age"
1,"male","cellphone",23
2,"male","landline",26
3,"female","cellphone",24
4,"female","landline",27
5,"male","cellphone",36
6,"male","landline",38
7,"female","cellphone",30
8,"female","landline",47
9,"male","cellphone",29
10,"male","landline",19
11,"female","cellphone",27
12,"female","landline",21
13,"male","cellphone",46
14,"male","landline",37
15,"female","cellphone",37
16,"female","landline",37
17,"male","cellphone",21
18,"male","landline",26
19,"female","cellphone",21
20,"female","landline",22
21,"male","cellphone",41
22,"male","landline",36
23,"female","cellphone",39
24,"female","landline",45
25,"male","cellphone",29
26,"male","landline",26
27,"female","Not Available""",27
28,"female","landline",26
29,"male","cellphone",42
30,"male","landline",40
31,"female","cellphone",37
32,"female","landline","Not Available"
33,"male","cellphone",23
34,"male","landline",23
35,"female","cellphone",32
36,"female","landline",28
37,"male","cellphone",40
38,"male","landline",36
39,"female","cellphone",40
40,"female","landline",49
41,"male","cellphone",20
42,"male","Not Available",21
43,"female","cellphone","Not Available"
44,"female","landline",32
45,"male","cellphone",46
46,"male","landline",41
47,"female","cellphone",36
48,"female","landline",43
49,"male","cellphone",20
50,"male","landline",18
51,"female","cellphone",31
52,"female","landline",28
53,"male","cellphone",39
54,"male","landline",37
55,"female","cellphone",39
56,"female","landline",47
57,"male","cellphone",30
58,"male","landline",26
59,"female","cellphone",21
60,"female","landline",26
61,"male","cellphone",47
62,"male","landline",47
63,"female","cellphone",41
64,"female","landline",42
65,"male","cellphone",26
66,"male","landline",18
67,"female","cellphone",29
68,"female","landline",22
69,"male","cellphone",50
70,"male","landline",37
71,"female","cellphone",49
72,"female","landline",40
73,"male","cellphone",25
74,"male","landline",24
75,"female","landline",26
76,"female","landline",20
77,"male","cellphone",36
78,"male","landline",45
79,"female","cellphone",40
80,"female","landline",44
81,"male","cellphone",23
82,"male","landline",30
83,"female","cellphone","Not Available"
84,"female","landline",23
85,"male","cellphone",39
86,"male","landline",38
87,"female","cellphone",40
88,"female","landline",27
89,"male","cellphone",26
90,"male","landline",29
91,"female","cellphone",21
92,"female","landline",20
93,"male","cellphone",41
94,"male","landline",42
95,"female","cellphone",42
96,"female","landline",46
97,"male","cellphone",26
98,"male","landline",26
99,"female","cellphone",23
100,"female","landline",25
101,"male","cellphone",36
102,"male","landline",36
103,"female","cellphone",45
104,"female","landline",46
105,"male","cellphone",24
106,"male","landline",28
107,"female","cellphone",24
108,"female","landline",27
109,"male","cellphone",42
110,"male","landline",45
111,"female","cellphone",47
112,"female","landline",43
113,"male","cellphone",21
114,"male","landline",31
115,"female","cellphone",24
116,"female","landline",25
117,"male","cellphone",36
118,"male","landline",36
119,"female","cellphone",38
120,"female","landline",46
121,"male","cellphone",31
122,"male","landline",18
123,"female","cellphone",25
124,"female","landline","Not Available"
125,"male","cellphone",36
126,"male","landline",36
127,"female","cellphone",36
128,"female","landline",46
129,"male","cellphone",26
130,"male","landline",18
131,"female","cellphone","Not Available"
132,"female","landline",17
133,"male","cellphone",36
134,"male","landline",36
135,"female","cellphone",43
136,"female","landline",42
137,"male","cellphone",28
138,"male","landline",18
139,"female","cellphone",18
140,"female","landline",29
141,"male","cellphone",36
142,"male","landline",36
143,"female","cellphone",44
144,"female","landline",40
145,"male","cellphone",19
146,"male","landline",18
147,"female","cellphone",23
148,"female","landline",18
149,"male","cellphone",44
150,"male","landline",36
151,"female","cellphone",45
152,"female","landline",20
153,"male","cellphone",27
154,"male","landline",19
155,"female","cellphone",28
156,"female","landline",20
157,"male","cellphone",30
158,"male","landline",36
159,"female","cellphone",34
160,"female","landline",40
161,"male","cellphone",40
162,"male","landline",18
163,"female","cellphone",20
164,"female","landline",27
165,"male","cellphone",36
166,"male","landline",36
167,"female","cellphone",42
168,"female","landline",30
169,"male","cellphone","Not Available"
170,"male","landline",19
171,"female","cellphone",21
172,"female","landline",26
173,"male","cellphone",36
174,"female","landline",49
175,"female","cellphone",50
176,"female","landline",36
177,"male","cellphone",27
178,"male","landline",21
179,"female","cellphone",18
180,"female","landline",18
181,"male","cellphone",37
182,"male","landline",37
183,"female","cellphone",48
184,"female","landline",36
185,"male","cellphone",24
186,"male","landline",20
187,"female","cellphone",26
188,"female","landline",18
189,"male","cellphone",36
190,"male","Not Available""",35
191,"female","cellphone",37
192,"female","landline",36
193,"male","cellphone",24
194,"male","landline",18
195,"female","cellphone",19
196,"female","landline",18
197,"male","cellphone",36
198,"male","landline",36
199,"female","cellphone",41
200,"female","landline",36
