"isiXhosa",,,
"Speaker","Gender","Line","Age"
1,"male","cellphone",25
2,"male","landline",21
3,"female","landline",26
4,"Female","Not Available",35
5,"male","cellphone",48
6,"male","landline",58
7,"female","cellphone",39
8,"male","cellphone",43
9,"male","landline",32
10,"female","cellphone","Not Available"
11,"female","landline",34
12,"male","cellphone",49
13,"male","landline",39
14,"female","cellphone",44
15,"Not Available","Not Available","Not Available"
16,"male","cellphone",27
17,"male","landline",24
18,"female","cellphone",
19,"female","landline",23
20,"male","cellphone",54
21,"male","landline",34
22,"Not Available","Not Available","Not Available"
23,"female","landline",61
24,"male","cellphone",28
25,"male","landline",29
26,"female","cellphone",31
27,"female","landline",42
28,"male","cellphone",44
29,"male","landline",48
30,"female","cellphone",57
31,"female","Not Available",44
32,"male","landline",24
33,"female","cellphone",27
34,"female","landline",27
35,"male","Not Available",42
36,"male","landline",35
37,"female","cellphone",42
38,"female","landline",39
39,"male","cellphone",33
40,"male","landline",35
41,"female","cellphone",28
42,"female","landline",30
43,"male","cellphone",37
44,"male","Not Available",37
45,"female","cellphone",50
46,"male","cellphone",13
47,"male","landline",30
48,"female","cellphone",27
49,"female","landline",24
50,"male","cellphone",33
51,"male","landline",39
52,"female","cellphone","70s"
53,"female","landline",41
54,"male","cellphone",18
55,"male","landline",27
56,"female","cellphone",30
57,"female","Not Available",31
58,"male","cellphone",36
59,"male","landline",36
60,"female","cellphone",54
61,"female","landline",47
62,"male","cellphone",32
63,"male","landline",46
64,"female","cellphone",26
65,"female","landline",29
66,"male","cellphone",38
67,"male","landline",40
68,"female","cellphone",71
69,"female","landline",44
70,"male","cellphone",33
71,"male","landline",32
72,"female","landline",44
73,"female","landline",32
74,"male","cellphone",37
75,"male","Not Available",36
76,"female","cellphone",51
77,"female","landline",36
78,"male","cellphone",29
79,"male","landline",25
80,"female","landline",28
81,"female","landline",28
82,"male","cellphone",43
83,"male","cellphone",52
84,"female","cellphone",39
85,"female","landline",36
86,"male","cellphone",25
87,"male","landline",29
88,"female","cellphone",35
89,"female","landline",30
90,"male","cellphone",38
91,"male","landline",49
92,"female","cellphone",37
93,"female","landline",36
94,"male","Not Available",29
95,"female","cellphone",23
96,"female","landline",31
97,"male","landline",35
98,"male","landline",38
99,"female","landline",35
100,"female","Not Available",60
101,"male","cellphone",33
102,"female","cellphone",20
103,"male","cellphone",69
104,"male","landline",47
105,"female","cellphone",40
106,"female","cellphone",45
107,"male","cellphone",32
108,"male","landline",24
109,"female","cellphone",15
110,"female","landline",43
111,"male","landline",42
112,"male","landline",39
113,"female","landline",39
114,"female","landline",50
115,"male","cellphone",19
116,"male","landline",23
117,"female","cellphone",24
118,"female","landline",25
119,"male","landline",51
120,"male","landline",49
121,"female","landline",39
122,"female","landline",48
123,"male","cellphone",27
124,"male","landline",27
125,"female","cellphone",31
126,"female","landline",24
127,"male","landline",43
128,"male","landline",40
129,"female","cellphone",38
130,"female","landline",40
131,"male","cellphone",29
132,"male","landline",32
133,"female","cellphone","Not Available"
134,"female","landline",32
135,"male","cellphone",37
136,"male","landline",32
137,"female","cellphone",49
138,"female","landline",37
139,"male","cellphone",29
140,"male","landline",33
141,"female","cellphone",22
142,"female","landline",25
143,"male","cellphone",36
144,"male","landline",39
145,"female","cellphone",67
146,"female","landline",36
147,"male","cellphone",35
148,"male","landline",25
149,"female","landline",26
150,"male","cellphone",42
151,"male","landline",36
152,"female","landline",39
153,"male","cellphone",39
154,"female","cellphone",34
155,"female","landline",18
156,"male","landline",51
157,"female","cellphone",38
158,"female","landline",61
159,"male","cellphone",35
160,"male","landline",25
161,"female","cellphone",29
162,"male","landline",45
163,"female","cellphone",46
164,"female","landline",42
165,"male","cellphone",23
166,"male","landline",29
167,"female","cellphone",26
168,"female","landline",29
169,"male","cellphone",57
170,"male","landline",48
171,"female","cellphone",31
172,"female","landline",41
173,"male","cellphone",33
174,"male","landline",26
175,"female","cellphone",23
176,"female","N/A",24
177,"male","cellphone",38
178,"male","landline",36
179,"female","cellphone",50
180,"female","landline",42
181,"N/A","Not Available","Not Available"
182,"male","landline",23
183,"female","cellphone",31
184,"female","landline",35
185,"male","cellphone",34
186,"male","landline",43
187,"female","landline",38
188,"female","landline",50
189,"female","cellphone",53
190,"female","cellphone",31
191,"female","landline",29
192,"male","cellphone",38
193,"female","cellphone",20
194,"female","landline",47
195,"female","cellphone",31
196,"female","cellphone",45
197,"male","cellphone",30
198,"female","cellphone",40
199,"male","cellphone",29
200,"male","landline",20
201,"male","landline",40
202,"male","landline",77
203,"female","landline",32
204,"female","landline",20
205,"female","landline",38
206,"female","landline",39
207,"male","landline",21
208,"female","landline",26
209,"male","landline",40
210,"female","landline",44
