"isizulu",,,
"Speaker","Gender","Line","Age"
1,"female","cellphone",46
2,"male","landline","Not Available"
3,"female","landline",21
4,"female","landline",31
5,"male","cellphone",24
6,"male","landline",40
7,"female","cellphone",44
8,"female","landline",49
9,"male","cellphone",28
10,"male","landline",22
11,"female","cellphone",35
12,"female","landline",27
13,"male","landline",25
14,"male","Not Available",8
15,"female","cellphone",42
16,"male","cellphone",18
17,"landline","Not Available",24
18,"female","cellphone",81
19,"female","landline",21
20,"male","cellphone",56
21,"male","landline",52
22,"female","cellphone",46
23,"female","cellphone",36
24,"male","cellphone",22
25,"male","landline",24
26,"female","cellphone",19
27,"female","landline",21
28,"male","cellphone",37
29,"male","Not Available",22
30,"female","cellphone",39
31,"female","landline",38
32,"male","cellphone",19
33,"male","Not Available",25
34,"male","cellphone",57
35,"male","landline",33
36,"male","cellphone",38
37,"male","landline",52
38,"female","cellphone",45
39,"female","landline",40
40,"male","cellphone",24
41,"male","landline",27
42,"female","cellphone",22
43,"female","cellphone",21
44,"male","cellphone",63
45,"male","landline",55
46,"female","cellphone",48
47,"female","landline",38
48,"male","cellphone",35
49,"male","landline",21
50,"female","cellphone",19
51,"female","landline",32
52,"male","landline",44
53,"male","landline",44
54,"female","cellphone",41
55,"male","cellphone",32
56,"male","landline",22
57,"female","cellphone",28
58,"female","cellphone",29
59,"male","cellphone",41
60,"male","landline",49
61,"female","cellphone",36
62,"female","landline",38
63,"male","cellphone",23
64,"male","Not Available",20
65,"female","cellphone",21
66,"female","landline",22
67,"male","cellphone",54
68,"male","landline",49
69,"female","Not Available",45
70,"female","landline",41
71,"male","cellphone",21
72,"male","landline","Not Available"
73,"female","cellphone",20
74,"female","landline",18
75,"male","cellphone",35
76,"male","landline",44
77,"female","cellphone",40
78,"female","landline",42
79,"male","cellphone",22
80,"male","landline",23
81,"female","cellphone",21
82,"female","landline",22
83,"male","cellphone",44
84,"male","Not Available",48
85,"female","cellphone",43
86,"female","landline",35
87,"male","cellphone","Not Available"
88,"male","landline",23
89,"Not Available","Not Available",38
90,"female","landline",20
91,"male","cellphone",25
92,"male","landline",57
93,"female","cellphone",50
94,"female","landline",47
95,"male","cellphone",21
96,"male","landline",17
97,"female","landline",35
98,"female","landline",25
99,"male","Not Available",41
100,"male","landline",34
101,"female","cellphone",62
102,"female","landline","Not Available"
103,"Not Available","cellphone",28
104,"male","landline",17
105,"female","cellphone",31
106,"female","Not Available",35
107,"male","cellphone",47
108,"male","landline",56
109,"female","landline",24
110,"female","landline",40
111,"male","cellphone",19
112,"male","landline",17
113,"female","cellphone",30
114,"female","landline",29
115,"male","cellphone",48
116,"male","landline",42
117,"female","landline",24
118,"female","landline",39
119,"male","cellphone",29
120,"male","landline",17
121,"female","cellphone",33
122,"female","cellphone",18
123,"male","cellphone",50
124,"male","landline",53
125,"female","cellphone",51
126,"female","landline",51
127,"male","landline",33
128,"male","landline",17
129,"female","landline",25
130,"female","landline",25
131,"male","cellphone",37
132,"male","landline",55
133,"female","Not Available",46
134,"female","landline","Not Available"
135,"male","cellphone",22
136,"male","landline",17
137,"female","cellphone",28
138,"female","landline",22
139,"male","landline",36
140,"male","landline",32
141,"female","cellphone",42
142,"female","landline",37
143,"male","cellphone",22
144,"male","landline",18
145,"female","cellphone",20
146,"female","landline",19
147,"male","cellphone",38
148,"male","landline",43
149,"female","landline",36
150,"female","cellphone",66
151,"male","cellphone",21
152,"male","cellphone",28
153,"female","cellphone",27
154,"female","cellphone",22
155,"male","cellphone",42
156,"male","landline",42
157,"female","cellphone",42
158,"female","landline","Not Available"
159,"male","cellphone",33
160,"landline","Not Available",11
161,"female","cellphone",22
162,"male","cellphone",51
163,"male","cellphone",40
164,"female","landline",47
165,"female","landline",50
166,"male","cellphone",36
167,"male","cellphone",19
168,"female","cellphone",21
169,"female","landline",25
170,"male","cellphone",50
171,"male","cellphone",37
172,"female","cellphone",57
173,"female","landline",48
174,"male","cellphone",23
175,"male","cellphone",26
176,"female","cellphone",32
177,"female","landline",24
178,"male","cellphone",47
179,"male","landline","Not Available"
180,"female","cellphone",37
181,"female","landline",38
182,"male","cellphone",24
183,"female","cellphone",21
184,"female","landline",24
185,"male","landline",63
186,"female","Not Available",12
187,"female","cellphone",65
188,"male","cellphone",25
189,"male","landline",27
190,"female","cellphone",33
191,"female","cellphone",20
192,"male","landline",40
193,"male","landline",38
194,"Not Available","Not Available",21
195,"female","cellphone",52
196,"male","landline",24
197,"female","landline",46
198,"male","landline",36
199,"female","landline",37
